blockNumber,timeStamp,hash,blockHash,transactionIndex,from,to,value,transaction_fee,isError,receiptStatus,contractAddress,methodId
3950438,1739960237,0xf907d3a2b5b117036ed5279c3b538f27f3b6342cf6235b6aa7137c6992fdac98,0xbe3f5a3ac97581ddbc82dbcc34171096e3edd3e3fb716bc5d3c1a593edbd95da,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0xf5c616e6057f402f370d4e3d67d3111b0a25fe73,0,7800000000000000,0,1,,60806040
3950514,1739960277,0x61d803e6672c6e2e21e2941c4efde5fa944602362468419fb10d0ef68968b9d6,0xac86278f34d692be178c4ab182488386ebe2962e5d93c5241a59b729dbb4cba5,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0xd6fb52603592a236b385399f8307f69f675c43c1,0,7800000000000000,0,1,,60806040
3950537,1739960293,0x137f70864ba730c52bf9004b0ee6ecb9f0606dc1a8777cccd79ae32d2477edcc,0x80125b650c1eefaa2a5656d6d843b7463ce0d7facf64f7975641e5dcc4059d1a,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x9d59c4597d1845db3c0d05bb7ffe3fd558bc01fd,0,7800000000000000,0,1,,60806040
3950561,1739960309,0xe3357b2903a18f3026423f5d8cd0cadfd9956fd177752b3ecdda8e838e3860b3,0x3857efef8a48d26f6b286a7af035875ecb8655dd30dead327993a15bf087bb93,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x5a8e7cc3d3f632f415824fa795734ad3d128c368,0,7800000000000000,0,1,,60806040
3950589,1739960325,0x1cde63a0393a3375162cc7dd9b30a4c6ea3b5545d8646735358c8aae453ead62,0x106b1ed8bf12ff2ad72007046ed648462b8576fc947001dd9c2e929f9f1db6c4,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x17ba07bcf812ec4458aaa73fb0c13878655d5492,0,7800000000000000,0,1,,60806040
3962592,1739966814,0x7304df477ab06f0708dcf83bc8e9ec58948b823d8c6622f910feae4a18d69e3b,0x9d5782b1c72018820ca94fbd55649a483355e5cc3550308c5dfd46dd25e15570,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x00000000001594c61dd8a6804da9ab58ed2483ce,0,18308992000000000,0,1,,00000000
3963400,1739967249,0x641180991ea255ceb4ec14c711df3eea2b46bc3515ebd8e92052b54726d20779,0x89d522b03f571b70a6fd6284777d2fd0032ee96759ea13aac714361369a3df37,1,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x1eec7bf4af422e48d6e84abde1c13b9b9ced9a7f,0,2857920000000000,0,1,,b08b27a6
3971567,1739971659,0xf247b196822b71d29f1fac4c3226d5f336cd372d1c76d4027b51add41c79998e,0xe039b6df10f11c24b09eccd16bdb3cec346364050b420c1feecfb9b5a2e509c2,1,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x00000000009a1e02f00e280dcfa4c81c55724212,5000006660000000,8113768000000000,0,1,,b510391f
3971718,1739971743,0xa4080741833f3479faa3db7a16186de22e358c09d834ca09675c276c1cae5850,0x15f8f7cf0c1f97db77f188bce8a5f19c27658b9f8a92d2b19df920027c373a15,1,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x00000000009a1e02f00e280dcfa4c81c55724212,5000006660000000,6758856000000000,0,1,,b510391f
3972967,1739972409,0x336e5e00386694c6cc8c6ac1d1e7fdbe5ba31133c10796e5c7db9c47fd4144be,0x313ecc05437eae02bacc60fbd53b9cd3db4c39f8e302b327ce65acd612580c6c,3,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x1eec7bf4af422e48d6e84abde1c13b9b9ced9a7f,0,2857920000000000,0,1,,b08b27a6
3973194,1739972537,0xb213e9a38bfa062582764004c2f72143a2b6767b313cb892cc99237d08db9a81,0x3af2c07527271a33431005e7dfaa6bebaecc3bfbd4ac1f62f2631cabc1f65d11,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x1eec7bf4af422e48d6e84abde1c13b9b9ced9a7f,0,4539600000000000,0,1,,c9aa1118
3973595,1739972759,0x0128fcb42d2a728af541d5f23b0b1f48c1d45ef451e931354dda8d926977a28f,0xd38388303c57bb990f78c77a65a808a15d72a4e5ae420331ec34053c8944854a,0,0xaf9e50c42b568f668b5a3b2573c7098e5460d174,0x00000000009a1e02f00e280dcfa4c81c55724212,34000053280000000,11989224000000000,0,1,,b510391f
